verse_no,verse
1:1:,"Dhritarashtra said: On the holy plain, on the field of Kuru, gathered together, eager for battle, what did they, O Sanjaya, my people and the Pândavas? "
1:2:,"Sanjaya said: Having seen arrayed the army of the Pândavas, the Prince Duryodhana approached his teacher, and spake these words: "
1:3:,"""Behold this mighty host of the sons of Pându, O teacher, arrayed by the son of Drupada, thy wise disciple. "
1:4:,"Heroes are these, mighty bowmen, to Bhima and Arjuna equal in battle; Yuyudhâna, Virâta, and Drupada of the great car. "
1:5:,"Drishtaketu, Chekitâna and the valiant King of Kashi, Purujit and Kuntibhoja, and Shaivya, bull among men; "
1:6:,"Yudhâmanyu the strong, and Uttamaujas the brave; Saubhadra and the Draupadeyas, all of great cars. "
1:7:,"Know further all those who are our chiefs, O best of the twice-born, the leaders of my army; these I name to thee for thy information: "
1:8:,"Thou, Lord, and Bhishma, and Karna and Kripa, conquering in battle Ashvatthâmâ, Vikarna, and Saumadatti also; "
1:9:,"And many others, heroes, for my sake renouncing their lives, with divers weapons and missiles, and all well-skilled in war. "
1:10:,"Yet insufficient seems this army of ours, though marshalled by Bhishma, while that army of theirs seems sufficient, though marshalled by Bhima; "
1:11:,"Therefore in the rank and file let all, standing firmly in their respective divisions, guard Bhishma, even all ye generals."" "
1:12:,"To enhearten him, the Ancient of the Kurus, the Grandsire, the glorious, blew his conch, sounding on high a lion's roar. "
1:13:,"Then conches and kettledrums, tabors and drums and cowhorns, suddenly blared forth, and the sound was tumultuous. "
1:14:,"Then, stationed in their great war-chariot, yoked to white horses, Madhava and the son of Pându blew their divine conches. "
1:15:,"Pânchajanya by Hrishikesha, and Devadatta by Dhananjaya. Vrikodara of terrible deeds, blew his mighty conch, Paundra; "
1:16:,"The King Yudhishthira, the son of Kuntî, blew Anantavijaya; Nakula and Sahadeva, Sughosha and Manipushpaka. "
1:17:,"And Kâshya, of the great bow, and Shikhandî, the mighty car-warrior, Drishtadyumna and Virâta and Satyaki, the unconquered. "
1:18:,"Drupada and the Draupadeyas, O Lord of earth, and Saubhadra, the mighty-armed, on all sides their several conches blew. "
1:19:,"That tumultuous uproar rent the hearts of the sons of Dhritarashtra, filling the earth and sky with sound. "
1:20:,"Then, beholding the sons of Dhritarashtra standing arrayed, and the flight of missiles about to begin, he whose crest is an ape, the son of Pându, took up his bow, "
1:21:,"And spake this word to Hrishikesha, O Lord of earth: Arjuna said: In the midst, between the two armies, stay my chariot, O Achyuta, "
1:22:,"That I may behold these standing, longing for battle, with whom I must strive in this outbreaking war, "
1:23:,"And gaze on those here gathered together ready to fight, desirous of pleasing in battle the evil-minded son of Dhritarashtra. "
1:24:,"Sanjaya said: Thus addressed by Gudâkesha, Hrishikesha, O Bharata, having stayed that best of chariots in the midst, between the two armies, "
1:25:,"Over against Bhîshma, Drona and all the rulers of the world, said: ""O Pârtha, behold these Kurus gathered together."" "
1:26:,"Then saw Pârtha standing there, uncles and grandfathers, teachers, mother's brothers, cousins, sons and grandsons, comrades, "
1:27:,"Fathers-in-law and benefactors also in both armies; seeing all these kinsmen thus standing arrayed, Kaunteya, "
1:28:,"Deeply moved to pity, this uttered in sadness: Arjuna said: Seeing these my kinsmen, O Krishna, arrayed, eager to fight, "
1:29:,"My limbs fail and my mouth is parched, my body quivers, and my hair stands on end, "
1:30:,"Gândîva slips from my hand, and my skin burns all over, I am not able to stand, my mind is whirling, "
1:31:,"And I see adverse omens, O Keshava. Nor do I foresee any advantage from slaying kinsmen in battle. "
1:32:,"For I desire not victory, O Krishna, nor kingdom, nor pleasures; what is kingdom to us, O Govinda, what enjoyment, or even life? "
1:33:,"Those for whose sake we desire kingdom, enjoyments and pleasures, they stand here in battle, abandoning life and riches— "
1:34:,"Teachers, fathers, sons, as well as grandfathers, mother's brothers, fathers-in-law, grandsons, brothers-in-law, and other relatives. "
1:35:,"These I do not wish to kill, though myself slain, O Madhusūdana, even for the sake of the kingship of the three worlds; how then for earth? "
1:36:,"Slaying these sons of Dhritarashtra, what pleasure can be ours, O Janardana? Killing these desperadoes, sin will but take hold of us. "
1:37:,"Therefore we should not kill the sons of Dhritarashtra, our relatives; for how, killing our kinsmen, may we be happy, O Madhava? "
1:38:,"Although these, with intelligence overpowered by greed, see no guilt in the destruction of a family, no crime in hostility to friends, "
1:39:,"Why should not we learn to turn away from such a sin, O Janardana, who see the evils in the destruction of a family? "
1:40:,"In the destruction of a family the immemorial family traditions perish; in the perishing of tradition, lawlessness overcomes the whole family; "
1:41:,"Owing to predominance of lawlessness, O Krishna, the women of the family become corrupt; women corrupted, O Varshneya, there ariseth caste-confusion; "
1:42:,"This confusion draggeth to hell the slayers of the family, and the family for their ancestors fall, deprived of rice-balls and libations. "
1:43:,"By these caste-confusing misdeeds of the slayers of the family, the everlasting caste customs and family customs are abolished. "
1:44:,"The abode of the men whose family customs are extinguished, O Janardana, is everlastingly in hell. Thus have we heard. "
1:45:,"Alas! in committing a great sin are we engaged, we who are endeavouring to kill our kindred from greed of the pleasures of kingship. "
1:46:,"If the sons of Dhritarashtra, weapon-in-hand, should slay me, unresisting, unarmed, in the battle, that would for me be the better. "
1:47:,"Sanjaya said: Having thus spoken on the battle-field, Arjuna sank down on the seat of the chariot, casting away his bow and arrow, his mind overborne by grief. "
2:1:,"Sanjaya said: To him thus with pity overcome, with smarting brimming eyes, despondent, Madhusūdana spake these words:"
2:2:,"The Blessed Lord said: Whence hath this dejection befallen thee in this perilous strait, ignoble, heaven-closing, infamous, O Arjuna?"
2:3:,"Yield not to impotence, O Pârtha! it doth not befit thee. Shake off this paltry faint-heartedness! Stand up, Parantapa!"
2:4:,"Arjuna said: How, O Madhusūdana, shall I attack Bhishma and Drona with arrows in battle, they who are worthy of reverence, O slayer of foes?"
2:5:,"Better in this world to eat even the beggar's crust than to slay these most noble Gurus. Slaying these Gurus, our well-wishers, I should taste of blood-besprinkled feasts."
2:6:,"Nor know I which for us be the better, that we conquer them or they conquer us—these, whom having slain we should not care to live, even these arrayed against us, the sons of Dhritarâshtra."
2:7:,"My heart is weighed down with the vice of faintness; my mind is confused as to duty. I ask thee which may be the better that tell me decisively. I am thy disciple, suppliant to Thee; teach me."
2:8:,"For I see not that it would drive away this anguish that withers up my senses, if I should attain unrivalled monarchy on earth, or even the sovereignty of the Shining Ones."
2:9:,"Sanjaya said: Gudâkesha, conqueror of his foes, having thus addressed Hrishikesha, and said to Govinda, ""I will not fight!"" became silent."
2:10:,"Then Hrishikesha, smiling, as it were, O Bharata, spake these words to him, despondent, in the midst of the two armies:"
2:11:,"The Blessed Lord said: Thou grievest for those that should not be grieved for, yet speakest words of wisdom. The wise grieve neither for the living nor for the dead."
2:12:,"Nor at any time verily was I not, nor thou, nor these princes of men, nor verily shall we ever cease to be, hereafter."
2:13:,"As the dweller in the body experienceth in the body childhood, youth, old age, so passeth he on to another body; the steadfast one grieveth not thereat."
2:14:,"The contacts of matter, O son of Kuntî, giving cold and heat, pleasure and pain, they come and go, impermanent endure them bravely, O Bharata."
2:15:,"The man whom these torment not, O chief of men, balanced in pain and pleasure, steadfast, he is fitted for immortality."
2:16:,The unreal hath no being; the real never ceaseth to be the truth about both hath been perceived by the seers of the essence of things.
2:17:,Know THAT to be indestructible by whom all this is pervaded. Nor can any work the destruction of that imperishable One.
2:18:,"These bodies of the embodied One, who is eternal, indestructible and immeasurable, are known as finite. Therefore fight, O Bharata."
2:19:,"He who regardeth this as a slayer, and he who thinketh he is slain, both of them are ignorant. He slayeth not, nor is he slain."
2:20:,"He is not born, nor doth he die; nor having been, ceaseth he any more to be; unborn, perpetual, eternal and ancient, he is not slain when the body is slaughtered."
2:21:,"Who knoweth him indestructible, perpetual, unborn, undiminishing, how can that man slay, O Pârtha, or cause to be slain?"
2:22:,"As a man, casting off worn-out garments, taketh new ones, so the dweller in the body, casting off worn-out bodies, entereth into others new. "
2:23:,"Weapons cleave him not, nor fire burneth him, nor waters wet him, nor wind drieth him away. "
2:24:,"Uncleavable he, incombustible he, and indeed neither to be wetted nor dried away; perpetual, all-pervasive, stable, immovable, ancient, "
2:25:,"Unmanifest, unthinkable, immutable, he is called; therefore knowing him as such, thou shouldst not grieve. "
2:26:,"Or if thou thinkest of him as constantly being born and constantly dying, even then, O mighty-armed, thou shouldst not grieve. "
2:27:,"For certain is death for the born, and certain birth for the dead; therefore over the inevitable thou shouldst not grieve. "
2:28:,"Beings are unmanifest in their origin, manifest in their midmost state, O Bharata, unmanifest likewise are they in dissolution. What room then for lamentation? "
2:29:,As marvellous one regardeth him; as marvellous another speaketh thereof; as marvellous another heareth thereof; yet having heard none indeed understandeth.
2:30:,"This dweller in the body of everyone is ever invulnerable, O Bharata; therefore thou shouldst not grieve for any creature."
2:31:,"Further, looking to thine own duty thou shouldst not tremble; for there is nothing more welcome to a Kshattriya than righteous war."
2:32:,"Happy the Kshattriyas, O Pârtha, who obtain such a fight, offered unsought as an open door to heaven."
2:33:,"But if thou wilt not carry on this righteous warfare, then casting away thine own duty and thine honour, thou wilt incur sin."
2:34:,"Men will recount thy perpetual dishonour, and, to one highly esteemed, dishonour exceedeth death."
2:35:,"The great car-warriors will think thee fled from the battle from fear, and thou, that wast highly thought of by them, wilt be lightly held."
2:36:,"Many unseemly words will be spoken by thine enemies, slandering thy strength; what more painful than that?"
2:37:,"Slain, thou wilt obtain heaven; victorious, thou wilt enjoy the earth; therefore stand up, O son of Kuntî, resolute to fight."
2:38:,"Taking as equal pleasure and pain, gain and loss, victory and defeat, gird thee for the battle; thus thou shalt not incur sin."
2:39:,"This teaching set forth to thee is in accordance with the Sankhya; hear it now according to the Yoga, imbued with which teaching, O Pârtha, thou shalt cast away the bonds of action."
2:40:,"In this there is no loss of effort, nor is there transgression. Even a little of this knowledge protects from great fear."
2:41:,"The determinate Reason is but one-pointed, O joy of the Kurus; many-branched and endless are the thoughts of the irresolute."
2:42-2:44:," Flowery speech is uttered by the foolish, rejoicing in the letter of the Vedas, O Partha, saying: ""There is naught but this""; With desire for self, with heaven for goal, they offer birth as the fruit of action, and prescribe many and various ceremonies for the attainment of pleasure and lordship. For them who cling to pleasure and lordship, whose minds are captivated by such teaching, is not designed this determinate Reason, on contemplation steadily bent."
2:45:,"The Vedas deal with the three attributes; be thou above these three attributes, O Arjuna; beyond the pairs of opposites, ever steadfast in purity, careless of possessions, full of the SELF."
2:46:,All the Vedas are as useful to an enlightened Brahmana as is a tank in a place covered all over with water.
2:47:,"Thy business is with the action only, never with its fruits; so let not the fruit of action be thy motive, nor be thou to inaction attached."
2:48:,"Perform action, O Dhananjaya, dwelling in union with the divine, renouncing attachments and balanced evenly in success and failure: equilibrium is called yoga."
2:49:,"Far lower than the Yoga of Discrimination is action, O Dhananjaya. Take thou refuge in the Pure Reason; pitiable are they who work for fruit."
2:50:,United to the Pure Reason one abandoneth here both good and evil deeds; therefore cleave thou to yoga; yoga is skill in action.
2:51:,"The Sages, united to the Pure Reason, renounce the fruit which action yieldeth, and, liberated from the bonds of birth, they go to the blissful seat."
2:52:,"When thy mind shall escape from this tangle of delusion, then thou shalt rise to indifference as to what has been heard and shall be heard."
2:53:,"When thy mind, bewildered by the Scriptures, shall stand immovable, fixed in contemplation, then shalt thou attain unto yoga."
2:54:,"Arjuna said: What the mark, of him who is stable of mind, steadfast in contemplation, O Keshava? how doth the stable-minded talk, how doth he sit, how walk?"
2:55:,"The Blessed Lord said: When a man abandoneth, O Pârtha, all the desires of the heart, and is satisfied in the SELF by the SELF, then is he called stable in mind."
2:56:,"He whose mind is free from anxiety amid pains, indifferent amid pleasures, loosed from passion, fear and anger, is called a sage of stable mind."
2:57:,"He who on every side is without attachments, whatever hap of fair and foul, who neither likes nor dislikes, of such a one the understanding is well poised."
2:58:,"When, again, as a tortoise draws in on all sides its limbs, he withdraws his senses from the objects of sense, then is his understanding well poised."
2:59:,"The objects of sense, but not the relish for them, turn away from an abstemious dweller in the body; and even relish turneth away from him after the Supreme is seen."
2:60:,"O son of Kuntî, the excited senses of even a wise man, though he be striving, impetuously carry away his mind."
2:61:,"Having restrained them all, he should sit harmonised, I his supreme goal; for whose senses are mastered, of him the understanding this well poised."
2:62:,"Man, musing on the objects of sense, conceiveth an attachment to these; from attachment ariseth desire; from desire anger cometh forth;"
2:63:,From anger proceedeth delusion; from delusion confused memory; from confused memory the destruction of Reason; from destruction of Reason he perishes.
2:64:,"But the disciplined self, moving among sense-objects with senses free from attend on and repulsion, mastered by the SELF, goeth to peace."
2:65:,"In that Peace the extinction of all pains ariseth for him, for of him whose heart is peaceful the Reason soon attaineth equilibrium."
2:66:,"There is no Pure Reason for the non-harmonised, nor for the non-harmonised is there concentration; for him without concentration there is no peace, and for the unpeaceful how can there be happiness?"
2:67:,"Such of the roving senses as the mind yieldeth to, that hurries away the understanding, just as the gale hurries away a ship upon the waters."
2:68:,"Therefore, O mighty-armed, whose senses are all completely restrained from the objects of sense, of him the understanding is well poised."
2:69:,"That which is the night of all beings, for the disciplined man is the time of waking; when other beings are waking, then is it night for the sage who seeth."
2:70:,"He attaineth Peace, into whom all desires flow as rivers flow into the ocean, which is filled with water, but remaineth unmoved-not he who desireth desires."
2:71:,"Whoso forsaketh all desires and goeth onwards free from yearnings, selfless and without egoism- he goeth to Peace."
2:72:,"This is the ETERNAL state, O son of Pritha. Having attained thereto none is bewildered. Who, even at the death-hour, is established therein, he goeth to the Nirvana of the ETERNAL."
3:1:,"Arjuna said: If it be thought by Thee that knowledge is superior to action, O Janardana, why dost Thou, O Keshava, enjoin on me this terrible action?"
3:2:,With these perplexing words Thou only confusest my understanding; therefore tell me with certainty the one way by which I may reach bliss.
3:3:,"The blessed Lord said: In this world there is a twofold path, as I before said, O sinless one that of yoga by knowledge, of the Sankhyas; and that of yoga by action, of the Yogis."
3:4:,"Man winneth not freedom from action by abstaining from activity, nor by mere renunciation doth he rise to perfection."
3:5:,"Nor can anyone, even for an instant, remain really actionless; for helplessly is everyone driven to action by the qualities born of nature."
3:6:,"Who sitteth, controlling the organs of action, but dwelling in his mind on the objects of the senses, that bewildered man is called a hypocrite."
3:7:,"But who, controlling the senses by the mind, O Arjuna, with the organs of action without attachment, performeth yoga by action, he is worthy."
3:8:,"Perform thou right action for action is superior to inaction, and, inactive, even the maintenance of thy body would not be possible."
3:9:,"The world is bound by action, unless performed for the sake of sacrifice; for that sake, free from attachment, O son of Kuntî, perform thou action."
3:10:,"Having in ancient times emanated mankind together with sacrifice, the Lord of emanation said: ""By this shall ye propagate; be this to you the giver of desires;"
3:11:,"""With this nourish ye the Shining Ones, and may the Shining Ones nourish you; thus nourishing one another ye shall reap the supremest good."
3:12:,"""For, nourished by sacrifice, the Shining Ones shall bestow on you the enjoyments you desire."" A thief verily is he who enjoyeth what is given by Them without returning Them aught."
3:13:,"The righteous, who eat the remains of the sacrifice, are freed from all sins; but the impious, who dress food for their own sakes, they verily eat sin."
3:14:,From food creatures become; from rain is the production of food; rain proceedeth from sacrifice; sacrifice ariseth out of action.
3:15:,"Know thou that from Brahma action groweth, and Brahma from the Imperishable cometh. Therefore the ETERNAL, the all-permeating, is ever present in sacrifice."
3:16:,"He who on earth doth not follow the wheel thus revolving, sinful of life and rejoicing in the senses, he, O son of Pritha, liveth in vain."
3:17:,"But the man who rejoiceth in the SELF, with the SELF is satisfied, and is content in the SELF, for him verily there is nothing to do;"
3:18:,"For him there is no interest in things done, in this world, nor any in things not done, nor doth any object of his depend on any being."
3:19:,"Therefore, without attachment, constantly perform action which is duty, for, by performing action without attachment, man verily reacheth the Supreme."
3:20:,"Janaka and others indeed attained to perfection by action: then having an eye to the welfare of the world also, thou shouldst perform action."
3:21:,"Whatsoever a great man doeth, that other men also do; the standard he setteth up, by that the people go."
3:22:,"There is nothing in the three worlds, O Pârtha, that should be done by Me, nor anything unattained that might be attained; yet I mingle in action."
3:23:,"For if I mingled not ever in action unwearied, men all around would follow My path, O son of Pritha."
3:24:,"These worlds would fall into ruin, if I did not perform action; I should be the author of confusion of castes, and should destroy these creatures."
3:25:,"As the ignorant act from attachment to action, O Bharata, so should the wise act without attachment, desiring the welfare of the world."
3:26:,Let no wise man unsettle the mind of ignorant people attached to action; but acting in harmony with Me let him render all action attractive.
3:27:,"All actions are wrought by the qualities of nature only. The self, deluded by egoism, thinketh: ""I am the doer."""
3:28:,"But he, O mighty-armed, who knoweth the essence of the divisions of the qualities and functions, holding that ""the qualities move amid the qualities,"" is not attached."
3:29:,Those deluded by the qualities of nature are attached to the functions of the qualities. The man of perfect knowledge should not unsettle the foolish whose knowledge is imperfect.
3:30:,"Surrendering all actions to Me, with thy thoughts resting on the supreme SELF, from hope and egoism freed, and of mental fever cured, engage in battle."
3:31:,"Who abide ever in this teaching of Mine full of faith and free from caviling, they too are released from actions."
3:32:,"Who carp at My teaching and act not thereon, senseless, deluded in all knowledge, know thou these mindless ones as fated to be destroyed."
3:33:,Even the man of knowledge behaves in conformity with his own nature; beings follow nature; what shall restraint avail?
3:34:,Affection and aversion for the objects of sense abide in the senses; let none come under the dominion of these two; they are obstructors of the path.
3:35:,"Better one's own duty though destitute of merit, than the duty of another, well discharged. Better death in the discharge of one' own duty; the duty of another is full of danger."
3:36:,"Arjuna said: But dragged on by what does a man commit sin, reluctantly indeed, O Varshneya, as it were by force constrained?"
3:37:,"The Blessed Lord said: It is desire, it is wrath, begotten by the quality of motion; all consuming, all-polluting, know thou this as our foe here on earth."
3:38:,"As a flame is enveloped by smoke, as a mirror by dust, as an embryo is wrapped by the amnion, so This is enveloped by it."
3:39:,"Enveloped is wisdom by this constant enemy of the wise in the form of desire, which is insatiable as a flame."
3:40:,"The senses, the mind and the Reason are said to be its seat; by these enveloping wisdom, it bewilders the dweller in the body."
3:41:,"Therefore, O best of the Bharatas, mastering first the senses, do thou slay this thing of sin, destructive of wisdom and knowledge."
3:42:,"It is said that the senses are great; greater than the senses is the mind: greater than the mind is the Reason; but what is greater than the Reason, is He."
3:43:,"Thus understanding Him as greater than the Reason, restraining the self by the SELF, slay thou, O mighty-armed, the enemy in the form of desire, difficult to overcome."
4:1:,The Blessed Lord said: This imperishable yoga I declared to Vivasvân; Vivasvân taught it to Manu; Manu to Ikshvaku told it.
4:2:,"This, handed on down the line, the King-Sages knew. This yoga by great efflux of time decayed in the world, O Parantapa."
4:3:,"This same ancient yoga hath been to-day declared to thee by Me, for thou art My devotee and My friend; it is the supreme Secret."
4:4:,"Arjuna said: Later was Thy birth, earlier the birth of Vivasvan; how then am I to understand that Thou declaredst it in the beginning?"
4:5:,"The Blessed Lord said: Many births have been left behind by Me and by thee, O Arjuna. I know them all, but thou knowest not thine, O Parantapa."
4:6:,"Though unborn, the imperishable SELF, and also the Lord of all beings, brooding over nature, which is Mine own, yet I am born through My own Power."
4:7:,"Whenever there is decay of righteousness, O Bharata, and there is exaltation of unrighteousness, then I Myself come forth;"
4:8:,"For the protection of the good, for the destruction of evil-doers, for the sake of firmly establishing righteousness, I am born from age to age."
4:9:,"He who thus knoweth My divine birth and action, in its essence, having abandoned the body, cometh not to birth again, but cometh unto Me, O Arjuna."
4:10:,"Freed from passion, fear and anger, filled with Me, taking refuge in Me, purified in the fire of wisdom, many have entered into My Being."
4:11:,"However men approach Me, even so do I welcome them, for the path men take from every side is Mine, O Pârtha."
4:12:,"They who long after success in action on earth worship the Shining Ones; for in brief space verily, in this world of men, success is born of action."
4:13:,"The four castes were emanated by Me, by the different distribution of qualities and actions; know Me to be the author of them, though the actionless and inexhaustible."
4:14:,"Nor do actions affect Me, nor is the fruit of action desired by Me. He who thus knoweth Me is not bound by actions."
4:15:,"Having thus known, our forefathers, ever seeking liberation, performed action; therefore do thou also perform action, as did our forefathers in the olden time."
4:16:,"""What is action, what inaction?"" Even the wise are herein perplexed. Therefore I will declare to thee the action by knowing which thou shalt be loosed from evil."
4:17:,"It is needful to discriminate action, to discriminate unlawful action, and to discriminate inaction; mysterious is the path of action."
4:18:,"He who seeth inaction in action, and action in inaction, he is wise among men, he is harmonious, even while performing all action."
4:19:,"Whose works are all free from the moulding of desire, whose actions are burned up by the fire of wisdom, him the wise have called a Sage."
4:20:,"Having abandoned attachment to the fruit of action, always content, nowhere seeking refuge, he is not doing anything, although doing actions."
4:21:,"Hoping for naught, his mind and self controlled, having abandoned all greed, performing action by the body alone, he doth not commit sin."
4:22:,"Content with whatsoever he obtaineth without effort, free from the pairs of opposites, without envy, balanced in success and failure, though acting he is not bound."
4:23:,"Of one with attachment dead, harmonious, with his thoughts established in wisdom, his works sacrifices, all action melts away."
4:24:,"The ETERNAL the oblation, the ETERNAL the clarified butter, are offered in the ETERNAL the fire by the ETERNAL; unto the ETERNAL verily shall he go who in his action meditateth wholly upon the ETERNAL."
4:25:,Some Yogis offer up sacrifice to the Shining Ones; others sacrifice only by pouring sacrifice into the fire of the ETERNAL;
4:26:,Some pour as sacrifice hearing and the other senses into the fires of restraint; some pour sound and the other objects of sense into the fires of the senses as sacrifice;
4:27:,"Others again into the wisdom-kindled fire of union attained by self-control, pour as sacrifice all the functions of the senses and the functions of life;"
4:28:,"Yet others the sacrifice of wealth, the sacrifice of austerity, the sacrifice of yoga, the sacrifice of silent reading and wisdom, men concentrated and of effectual vows;"
4:29:,"Yet others pour as sacrifice the outgoing breath in the incoming, and the incoming, in the outgoing, restraining the flow of the outgoing and incoming breaths, solely absorbed in the control of breathing."
4:30:,"Others regular in food, pour as sacrifice their life breaths in life breaths. All these are knowers of sacrifice, and by sacrifice have destroyed their sins."
4:31:,"The eaters of the life-giving remains of sacrifice go to the changeless ETERNAL, This world is not for the non-sacrificer, much less the other, O best of the Kurus."
4:32:,"Many and various sacrifices are thus spread out before the ETERNAL. Know thou that all these are born of action, and thus knowing thou shalt be free."
4:33:,"Better than the sacrifice of any objects is the sacrifice of wisdom, O Parantapa. All actions in their entirety, O Pârtha, culminate in wisdom."
